pesquisa_id;ano;unidades_federativas_id;unidade_federativa_nome;ambito;cargos_id;cargo;tipo_id;tipo;turno;data_pesquisa;instituto_id;instituto;voto_tipo;cenario_id;cenario_descricao;candidatos_id;candidato_partido;candidato;ano_default;condicao;percentual;data_referencia;margem_mais;margem_menos;contratante;num_registro;orgao_registro;qtd_entrevistas;partidos_id;partido;cidade
9250;2022;6;BRASIL;BR;3;Presidente;2;Estimulada;1;2019-08-18;59;FSB;Votos Totais;23199;cenário 1 - estimulado - 1º turno;289;Ciro (PDT);Ciro;;0;11.00;16-18.ago.2019;2.00;2.00;Veja;;;2000;10;PDT;
9250;2022;6;BRASIL;BR;3;Presidente;2;Estimulada;1;2019-08-18;59;FSB;Votos Totais;23199;cenário 1 - estimulado - 1º turno;5047;nenhum (N/A);nenhum;;1;9.00;16-18.ago.2019;2.00;2.00;Veja;;;2000;1;N/A;
9250;2022;6;BRASIL;BR;3;Presidente;2;Estimulada;1;2019-08-18;59;FSB;Votos Totais;23199;cenário 1 - estimulado - 1º turno;5149;branco (N/A);branco;;1;3.00;16-18.ago.2019;2.00;2.00;Veja;;;2000;1;N/A;
9250;2022;6;BRASIL;BR;3;Presidente;2;Estimulada;1;2019-08-18;59;FSB;Votos Totais;23199;cenário 1 - estimulado - 1º turno;5150;nulo (N/A);nulo;;1;3.00;16-18.ago.2019;2.00;2.00;Veja;;;2000;1;N/A;
9250;2022;6;BRASIL;BR;3;Presidente;2;Estimulada;1;2019-08-18;59;FSB;Votos Totais;23199;cenário 1 - estimulado - 1º turno;5511;não iria votar (N/A);não iria votar;;0;1.00;16-18.ago.2019;2.00;2.00;Veja;;;2000;1;N/A;
9250;2022;6;BRASIL;BR;3;Presidente;2;Estimulada;1;2019-08-18;59;FSB;Votos Totais;23199;cenário 1 - estimulado - 1º turno;841;João Amoêdo (Novo);João Amoêdo;;0;5.00;16-18.ago.2019;2.00;2.00;Veja;;;2000;5;Novo;
9250;2022;6;BRASIL;BR;3;Presidente;2;Estimulada;1;2019-08-18;59;FSB;Votos Totais;23199;cenário 1 - estimulado - 1º turno;940;Luciano Huck (N/A);Luciano Huck;;0;11.00;16-18.ago.2019;2.00;2.00;Veja;;;2000;1;N/A;
9250;2022;6;BRASIL;BR;3;Presidente;2;Estimulada;1;2019-08-18;59;FSB;Votos Totais;23199;cenário 1 - estimulado - 1º turno;1210;não sabe / não respondeu (N/A);não sabe / não respondeu;;1;3.00;16-18.ago.2019;2.00;2.00;Veja;;;2000;1;N/A;
9250;2022;6;BRASIL;BR;3;Presidente;2;Estimulada;1;2019-08-18;59;FSB;Votos Totais;23199;cenário 1 - estimulado - 1º turno;855;João Doria (PSDB);João Doria;2018-Governador;0;3.00;16-18.ago.2019;2.00;2.00;Veja;;;2000;33;PSDB;
9250;2022;6;BRASIL;BR;3;Presidente;2;Estimulada;1;2019-08-18;59;FSB;Votos Totais;23199;cenário 1 - estimulado - 1º turno;706;Bolsonaro (N/A);Bolsonaro;2018-Presidente;0;35.00;16-18.ago.2019;2.00;2.00;Veja;;;2000;1;N/A;
9250;2022;6;BRASIL;BR;3;Presidente;2;Estimulada;1;2019-08-18;59;FSB;Votos Totais;23199;cenário 1 - estimulado - 1º turno;508;Fernando Haddad (PT);Fernando Haddad;2018-Presidente;0;17.00;16-18.ago.2019;2.00;2.00;Veja;;;2000;39;PT;
9250;2022;6;BRASIL;BR;3;Presidente;2;Estimulada;1;2019-08-18;59;FSB;Votos Totais;23200;cenário 2 - estimulado - 1º turno;1210;não sabe / não respondeu (N/A);não sabe / não respondeu;;1;2.00;16-18.ago.2019;2.00;2.00;Veja;;;2000;1;N/A;
9250;2022;6;BRASIL;BR;3;Presidente;2;Estimulada;1;2019-08-18;59;FSB;Votos Totais;23200;cenário 2 - estimulado - 1º turno;1583;Sérgio Moro (N/A);Sérgio Moro;;0;27.00;16-18.ago.2019;2.00;2.00;Veja;;;2000;1;N/A;
9250;2022;6;BRASIL;BR;3;Presidente;2;Estimulada;1;2019-08-18;59;FSB;Votos Totais;23200;cenário 2 - estimulado - 1º turno;508;Fernando Haddad (PT);Fernando Haddad;2018-Presidente;0;18.00;16-18.ago.2019;2.00;2.00;Veja;;;2000;39;PT;
9250;2022;6;BRASIL;BR;3;Presidente;2;Estimulada;1;2019-08-18;59;FSB;Votos Totais;23200;cenário 2 - estimulado - 1º turno;289;Ciro (PDT);Ciro;;0;13.00;16-18.ago.2019;2.00;2.00;Veja;;;2000;10;PDT;
9250;2022;6;BRASIL;BR;3;Presidente;2;Estimulada;1;2019-08-18;59;FSB;Votos Totais;23200;cenário 2 - estimulado - 1º turno;940;Luciano Huck (N/A);Luciano Huck;;0;13.00;16-18.ago.2019;2.00;2.00;Veja;;;2000;1;N/A;
9250;2022;6;BRASIL;BR;3;Presidente;2;Estimulada;1;2019-08-18;59;FSB;Votos Totais;23200;cenário 2 - estimulado - 1º turno;841;João Amoêdo (Novo);João Amoêdo;;0;5.00;16-18.ago.2019;2.00;2.00;Veja;;;2000;5;Novo;
9250;2022;6;BRASIL;BR;3;Presidente;2;Estimulada;1;2019-08-18;59;FSB;Votos Totais;23200;cenário 2 - estimulado - 1º turno;855;João Doria (PSDB);João Doria;2018-Governador;0;5.00;16-18.ago.2019;2.00;2.00;Veja;;;2000;33;PSDB;
9250;2022;6;BRASIL;BR;3;Presidente;2;Estimulada;1;2019-08-18;59;FSB;Votos Totais;23200;cenário 2 - estimulado - 1º turno;5047;nenhum (N/A);nenhum;;1;10.00;16-18.ago.2019;2.00;2.00;Veja;;;2000;1;N/A;
9250;2022;6;BRASIL;BR;3;Presidente;2;Estimulada;1;2019-08-18;59;FSB;Votos Totais;23200;cenário 2 - estimulado - 1º turno;5511;não iria votar (N/A);não iria votar;;0;1.00;16-18.ago.2019;2.00;2.00;Veja;;;2000;1;N/A;
